event_id,event_name,event_type,event_year,GEOID,claim_count,building_payments,contents_payments,icc_payments,total_claim_payments,average_payment_per_claim
harvey-2017,Hurricane Harvey,Hurricane,2017,48355003304,2.0,38892.87,6198.82,0.0,45091.69,22545.84
harvey-2017,Hurricane Harvey,Hurricane,2017,48355003305,1.98,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355003401,2.0,2501.18,0.0,0.0,2501.18,1250.59
harvey-2017,Hurricane Harvey,Hurricane,2017,48355003500,1.987,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355003602,1.0,69991.19,15501.89,0.0,85493.08,85493.08
harvey-2017,Hurricane Harvey,Hurricane,2017,48355003603,0.886,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355003700,1.0,5000.0,508.69,0.0,5508.69,5508.69
harvey-2017,Hurricane Harvey,Hurricane,2017,48355005102,2612.722,109146668.02,29010475.36,227010.5,138384153.88,52965.52
harvey-2017,Hurricane Harvey,Hurricane,2017,48355005404,2.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355005406,2.007,6117.65,0.0,0.0,6117.65,3048.12
harvey-2017,Hurricane Harvey,Hurricane,2017,48355005407,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355005409,2.0,2362.29,0.0,0.0,2362.29,1181.14
harvey-2017,Hurricane Harvey,Hurricane,2017,48355005410,1.0,5066.82,8977.19,0.0,14044.01,14044.01
harvey-2017,Hurricane Harvey,Hurricane,2017,48355005411,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355005412,5.0,7402.17,0.0,0.0,7402.17,1480.43
harvey-2017,Hurricane Harvey,Hurricane,2017,48355005413,3.0,10137.07,0.0,0.0,10137.07,3379.02
harvey-2017,Hurricane Harvey,Hurricane,2017,48355005415,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355005416,3.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355005417,4.0,25608.62,0.0,0.0,25608.62,6402.16
harvey-2017,Hurricane Harvey,Hurricane,2017,48355005601,6.017,27861.48,0.0,0.0,27861.48,4630.36
harvey-2017,Hurricane Harvey,Hurricane,2017,48355005602,39.983,14658.78,0.0,0.0,14658.78,366.63
harvey-2017,Hurricane Harvey,Hurricane,2017,48355005801,2.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355005802,1.116,12043.09,0.0,0.0,12043.09,10792.68
harvey-2017,Hurricane Harvey,Hurricane,2017,48355005900,1.0,29029.56,0.0,0.0,29029.56,29029.56
harvey-2017,Hurricane Harvey,Hurricane,2017,48355006100,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355006200,831.278,4928405.6,713550.64,0.0,5641956.24,6787.08
